Time Series of Monthly Average Price for Wheat,,,,,
,,,,,
Date,Price ($/bu),,,,
September 1982,3.38,,,,
October 1982,3.43,,,,
November 1982,3.48,,,,
December 1982,3.51,,,,
January 1983,3.57,,,,
February 1983,3.57,,,,
March 1983,3.66,,,,
April 1983,3.75,,,,
May 1983,3.73,,,,
June 1983,3.50,,,,
July 1983,3.34,,,,
August 1983,3.61,,,,
September 1983,3.65,,,,
October 1983,3.60,,,,
November 1983,3.54,,,,
December 1983,3.48,,,,
January 1984,3.50,,,,
February 1984,3.40,,,,
March 1984,3.49,,,,
April 1984,3.63,,,,
May 1984,3.66,,,,
June 1984,3.46,,,,
July 1984,3.29,,,,
August 1984,3.43,,,,
September 1984,3.43,,,,
October 1984,3.43,,,,
November 1984,3.45,,,,
December 1984,3.38,,,,
January 1985,3.38,,,,
February 1985,3.38,,,,
March 1985,3.38,,,,
April 1985,3.43,,,,
May 1985,3.30,,,,
June 1985,3.09,,,,
July 1985,2.93,,,,
August 1985,2.89,,,,
September 1985,3.01,,,,
October 1985,3.10,,,,
November 1985,3.22,,,,
December 1985,3.25,,,,
January 1986,3.19,,,,
February 1986,3.16,,,,
March 1986,3.28,,,,
April 1986,3.37,,,,
May 1986,3.01,,,,
June 1986,2.47,,,,
July 1986,2.25,,,,
August 1986,2.26,,,,
September 1986,2.28,,,,
October 1986,2.30,,,,
November 1986,2.43,,,,
December 1986,2.49,,,,
January 1987,2.53,,,,
February 1987,2.58,,,,
March 1987,2.57,,,,
April 1987,2.63,,,,
May 1987,2.66,,,,
June 1987,2.45,,,,
July 1987,2.31,,,,
August 1987,2.35,,,,
September 1987,2.54,,,,
October 1987,2.62,,,,
November 1987,2.69,,,,
December 1987,2.70,,,,
January 1988,2.75,,,,
February 1988,2.79,,,,
March 1988,2.74,,,,
April 1988,2.79,,,,
May 1988,2.97,,,,
June 1988,3.37,,,,
July 1988,3.50,,,,
August 1988,3.61,,,,
September 1988,3.74,,,,
October 1988,3.84,,,,
November 1988,3.88,,,,
December 1988,3.94,,,,
January 1989,4.02,,,,
February 1989,4.03,,,,
March 1989,4.07,,,,
April 1989,4.03,,,,
May 1989,4.01,,,,
June 1989,3.85,,,,
July 1989,3.78,,,,
August 1989,3.74,,,,
September 1989,3.72,,,,
October 1989,3.75,,,,
November 1989,3.72,,,,
December 1989,3.79,,,,
January 1990,3.71,,,,
February 1990,3.56,,,,
March 1990,3.48,,,,
April 1990,3.49,,,,
May 1990,3.40,,,,
June 1990,3.08,,,,
July 1990,2.79,,,,
August 1990,2.58,,,,
September 1990,2.46,,,,
October 1990,2.43,,,,
November 1990,2.39,,,,
December 1990,2.40,,,,
January 1991,2.42,,,,
February 1991,2.42,,,,
March 1991,2.53,,,,
April 1991,2.60,,,,
May 1991,2.65,,,,
June 1991,2.55,,,,
July 1991,2.50,,,,
August 1991,2.63,,,,
September 1991,2.80,,,,
October 1991,3.07,,,,
November 1991,3.25,,,,
December 1991,3.44,,,,
January 1992,3.54,,,,
February 1992,3.78,,,,
March 1992,3.72,,,,
April 1992,3.65,,,,
May 1992,3.64,,,,
June 1992,3.43,,,,
July 1992,3.15,,,,
August 1992,3.01,,,,
September 1992,3.20,,,,
October 1992,3.22,,,,
November 1992,3.29,,,,
December 1992,2.96,,,,
January 1993,3.37,,,,
February 1993,3.33,,,,
March 1993,3.30,,,,
April 1993,3.26,,,,
May 1993,3.11,,,,
June 1993,2.84,,,,
July 1993,2.85,,,,
August 1993,2.96,,,,
September 1993,3.10,,,,
October 1993,3.25,,,,
November 1993,3.47,,,,
December 1993,3.63,,,,
January 1994,3.58,,,,
February 1994,3.60,,,,
March 1994,3.70,,,,
April 1994,3.56,,,,
May 1994,3.43,,,,
June 1994,3.21,,,,
July 1994,3.04,,,,
August 1994,3.25,,,,
September 1994,3.57,,,,
October 1994,3.76,,,,
November 1994,3.75,,,,
December 1994,3.74,,,,
January 1995,3.69,,,,
February 1995,3.61,,,,
March 1995,3.52,,,,
April 1995,3.48,,,,
May 1995,3.67,,,,
June 1995,3.84,,,,
July 1995,4.10,,,,
August 1995,4.26,,,,
September 1995,4.53,,,,
October 1995,4.72,,,,
November 1995,4.81,,,,
December 1995,4.88,,,,
January 1996,4.83,,,,
February 1996,4.98,,,,
March 1996,5.07,,,,
April 1996,5.32,,,,
May 1996,5.75,,,,
June 1996,5.25,,,,
July 1996,4.73,,,,
August 1996,4.57,,,,
September 1996,4.37,,,,
October 1996,4.17,,,,
November 1996,4.10,,,,
December 1996,4.06,,,,
January 1997,4.02,,,,
February 1997,3.89,,,,
March 1997,3.93,,,,
April 1997,4.10,,,,
May 1997,4.08,,,,
June 1997,3.52,,,,
July 1997,3.23,,,,
August 1997,3.56,,,,
September 1997,3.66,,,,
October 1997,3.58,,,,
November 1997,3.54,,,,
December 1997,3.44,,,,
January 1998,3.32,,,,
February 1998,3.27,,,,
March 1998,3.33,,,,
April 1998,3.18,,,,
May 1998,3.06,,,,
June 1998,2.77,,,,
July 1998,2.56,,,,
August 1998,2.38,,,,
September 1998,2.39,,,,
October 1998,2.77,,,,
November 1998,2.95,,,,
December 1998,2.86,,,,
January 1999,2.84,,,,
February 1999,2.73,,,,
March 1999,2.65,,,,
April 1999,2.62,,,,
May 1999,2.49,,,,
June 1999,2.50,,,,
July 1999,2.22,,,,
August 1999,2.53,,,,
September 1999,2.58,,,,
October 1999,2.57,,,,
November 1999,2.66,,,,
December 1999,2.52,,,,
January 2000,2.51,,,,
February 2000,2.54,,,,
March 2000,2.59,,,,
April 2000,2.57,,,,
May 2000,2.59,,,,
June 2000,2.50,,,,
July 2000,2.32,,,,
August 2000,2.40,,,,
September 2000,2.43,,,,
October 2000,2.68,,,,
November 2000,2.82,,,,
December 2000,2.87,,,,
January 2001,2.84,,,,
February 2001,2.83,,,,
March 2001,2.87,,,,
April 2001,2.86,,,,
May 2001,2.98,,,,
June 2001,2.74,,,,
July 2001,2.63,,,,
August 2001,2.74,,,,
September 2001,2.85,,,,
October 2001,2.87,,,,
November 2001,2.87,,,,
December 2001,2.88,,,,
January 2002,2.87,,,,
February 2002,2.83,,,,
March 2002,2.87,,,,
April 2002,2.83,,,,
May 2002,2.81,,,,
June 2002,2.92,,,,
July 2002,3.21,,,,
August 2002,3.63,,,,
September 2002,4.21,,,,
October 2002,4.38,,,,
November 2002,4.25,,,,
December 2002,4.06,,,,
January 2003,3.89,,,,
February 2003,3.70,,,,
March 2003,3.55,,,,
April 2003,3.37,,,,
May 2003,3.33,,,,
June 2003,3.08,,,,
July 2003,2.95,,,,
August 2003,3.35,,,,
September 2003,3.39,,,,
October 2003,3.44,,,,
November 2003,3.61,,,,
December 2003,3.68,,,,
January 2004,3.68,,,,
February 2004,3.77,,,,
March 2004,3.83,,,,
April 2004,3.88,,,,
May 2004,3.82,,,,
June 2004,3.55,,,,
July 2004,3.37,,,,
August 2004,3.27,,,,
September 2004,3.36,,,,
October 2004,3.43,,,,
November 2004,3.46,,,,
December 2004,3.40,,,,
January 2005,3.43,,,,
February 2005,3.36,,,,
March 2005,3.42,,,,
April 2005,3.35,,,,
May 2005,3.31,,,,
June 2005,3.23,,,,
July 2005,3.20,,,,
August 2005,3.24,,,,
September 2005,3.35,,,,
October 2005,3.43,,,,
November 2005,3.47,,,,
December 2005,3.54,,,,
January 2006,3.52,,,,
February 2006,3.66,,,,
March 2006,3.79,,,,
April 2006,3.81,,,,
May 2006,4.09,,,,
June 2006,4.01,,,,
July 2006,3.89,,,,
August 2006,3.91,,,,
September 2006,4.06,,,,
October 2006,4.59,,,,
November 2006,4.59,,,,
December 2006,4.51,,,,
January 2007,4.54,,,,
February 2007,4.71,,,,
March 2007,4.75,,,,
April 2007,4.89,,,,
May 2007,4.88,,,,
June 2007,5.03,,,,
July 2007,5.17,,,,
August 2007,5.64,,,,
September 2007,6.75,,,,
October 2007,7.65,,,,
November 2007,7.36,,,,
December 2007,7.74,,,,
January 2008,7.93,,,,
February 2008,9.98,,,,
March 2008,10.60,,,,
April 2008,10.00,,,,
May 2008,8.87,,,,
June 2008,7.62,,,,
July 2008,7.16,,,,
August 2008,7.64,,,,
September 2008,7.43,,,,
October 2008,6.67,,,,
November 2008,6.28,,,,
December 2008,5.97,,,,
January 2009,6.21,,,,
February 2009,5.79,,,,
March 2009,5.70,,,,
April 2009,5.74,,,,
May 2009,5.84,,,,
June 2009,5.67,,,,
July 2009,5.13,,,,
August 2009,4.83,,,,
September 2009,4.48,,,,
October 2009,4.47,,,,
November 2009,4.79,,,,
December 2009,4.85,,,,
January 2010,4.92,,,,
February 2010,4.73,,,,
March 2010,4.70,,,,
April 2010,4.42,,,,
May 2010,4.33,,,,
June 2010,4.17,,,,
July 2010,4.50,,,,
August 2010,5.44,,,,
September 2010,5.83,,,,
October 2010,5.87,,,,
November 2010,6.13,,,,
December 2010,6.45,,,,
January 2011,6.71,,,,
February 2011,7.43,,,,
March 2011,7.54,,,,
April 2011,8.04,,,,
May 2011,8.16,,,,
June 2011,7.40,,,,
July 2011,7.10,,,,
August 2011,7.61,,,,
September 2011,7.55,,,,
October 2011,7.27,,,,
November 2011,7.30,,,,
December 2011,7.20,,,,
January 2012,7.04,,,,
February 2012,7.10,,,,
March 2012,7.20,,,,
April 2012,7.11,,,,
May 2012,6.67,,,,
June 2012,6.70,,,,
July 2012,7.89,,,,
August 2012,8.04,,,,
September 2012,8.27,,,,
October 2012,8.38,,,,
November 2012,8.47,,,,
December 2012,8.29,,,,
January 2013,8.12,,,,
February 2013,7.97,,,,
March 2013,7.79,,,,
April 2013,7.71,,,,
May 2013,7.68,,,,
June 2013,7.37,,,,
7//1/2013,6.95,,,,
August 2013,6.88,,,,
September 2013,6.80,,,,
October 2013,6.94,,,,
November 2013,6.85,,,,
December 2013,6.73,,,,
January 2014,6.65,,,,
February 2014,6.50,,,,
March 2014,6.74,,,,
April 2014,6.82,,,,
May 2014,7.08,,,,
June 2014,6.49,,,,
July 2014,6.15,,,,
August 2014,5.97,,,,
September 2014,5.71,,,,
October 2014,5.71,,,,
November 2014,6.04,,,,
December 2014,6.14,,,,
January 2015,6.15,,,,
February 2015,5.89,,,,
March 2015,5.70,,,,
April 2015,5.56,,,,
May 2015,5.33,,,,
June 2015,5.42,,,,
July 2015,5.23,,,,
August 2015,4.84,,,,
September 2015,4.72,,,,
October 2015,4.87,,,,
November 2015,4.86,,,,
December 2015,4.71,,,,
January 2016,4.82,,,,
February 2016,4.61,,,,
March 2016,4.40,,,,
April 52016,4.46,,,,
May 2016,4.45,,,,
June 2016,4.20,,,,
July 2016,3.75,,,,
August 2016,3.67,,,,
September 2016,3.49,,,,
October 2016,3.68,,,,
November 2016,3.88,,,,
December 2016,3.91,,,,
January 2017,4.02,,,,
February 2017,4.15,,,,
March 2017,4.37,,,,
April 2017,4.16,,,,
May 2017,4.05,,,,
June 2017,4.37,,,,
July 2017,4.77,,,,
August 2017,4.83,,,,
September 2017,4.65,,,,
October 2017,4.64,,,,
November 2017,4.73,,,,
December 2017,4.51,,,,
January 2018,4.69,,,,
February 2018,4.92,,,,
March 2018,5.10,,,,
