Time Series of Monthly Average Price for Milk,,,,,
,,,,,
Date,Price ($/cwt),,,,
October 1967,5.30,,,,
November 1967,5.36,,,,
December 1967,5.30,,,,
January 1968,5.26,,,,
February 1968,5.18,,,,
March 1968,5.07,,,,
April 1968,5.02,,,,
May 1968,5.00,,,,
June 1968,4.91,,,,
July 1968,5.07,,,,
August 1968,5.25,,,,
September 1968,5.46,,,,
October 1968,5.63,,,,
November 1968,5.69,,,,
December 1968,5.61,,,,
January 1969,5.57,,,,
February 1969,5.50,,,,
March 1969,5.41,,,,
April 1969,5.29,,,,
May 1969,5.19,,,,
June 1969,5.11,,,,
July 1969,5.24,,,,
August 1969,5.39,,,,
September 1969,5.68,,,,
October 1969,5.85,,,,
November 1969,5.92,,,,
December 1969,5.89,,,,
January 1970,5.86,,,,
February 1970,5.76,,,,
March 1970,5.61,,,,
April 1970,5.56,,,,
May 1970,5.44,,,,
June 1970,5.38,,,,
July 1970,5.47,,,,
August 1970,5.58,,,,
September 1970,5.83,,,,
October 1970,6.02,,,,
November 1970,6.09,,,,
December 1970,6.07,,,,
January 1971,5.99,,,,
February 1971,5.96,,,,
March 1971,5.86,,,,
April 1971,5.73,,,,
May 1971,5.60,,,,
June 1971,5.52,,,,
July 1971,5.63,,,,
August 1971,5.75,,,,
September 1971,5.98,,,,
October 1971,6.09,,,,
November 1971,6.18,,,,
December 1971,6.17,,,,
January 1972,6.12,,,,
February 1972,6.13,,,,
March 1972,6.02,,,,
April 1972,5.86,,,,
May 1972,5.79,,,,
June 1972,5.72,,,,
July 1972,5.80,,,,
August 1972,5.99,,,,
September 1972,6.21,,,,
October 1972,6.38,,,,
November 1972,6.52,,,,
December 1972,6.54,,,,
January 1973,6.56,,,,
February 1973,6.60,,,,
March 1973,6.54,,,,
April 1973,6.43,,,,
May 1973,6.40,,,,
June 1973,6.40,,,,
July 1973,6.57,,,,
August 1973,7.19,,,,
September 1973,7.87,,,,
October 1973,8.32,,,,
November 1973,8.66,,,,
December 1973,8.80,,,,
January 1974,8.89,,,,
February 1974,8.92,,,,
March 1974,8.96,,,,
April 1974,8.84,,,,
May 1974,8.25,,,,
June 1974,7.69,,,,
July 1974,7.61,,,,
August 1974,7.74,,,,
September 1974,8.07,,,,
October 1974,8.34,,,,
November 1974,8.48,,,,
December 1974,8.25,,,,
January 1975,8.43,,,,
February 1975,8.38,,,,
March 1975,8.22,,,,
April 1975,8.18,,,,
May 1975,8.07,,,,
June 1975,7.99,,,,
July 1975,8.25,,,,
August 1975,8.64,,,,
September 1975,9.25,,,,
October 1975,9.70,,,,
November 1975,10.00,,,,
December 1975,10.30,,,,
January 1976,10.10,,,,
February 1976,9.76,,,,
March 1976,9.75,,,,
April 1976,9.40,,,,
May 1976,9.25,,,,
June 1976,9.14,,,,
July 1976,9.43,,,,
August 1976,9.70,,,,
September 1976,9.84,,,,
October 1976,9.96,,,,
November 1976,9.89,,,,
December 1976,9.72,,,,
January 1977,9.65,,,,
February 1977,9.53,,,,
March 1977,9.45,,,,
April 1977,9.44,,,,
May 1977,9.37,,,,
June 1977,9.40,,,,
July 1977,9.49,,,,
August 1977,9.66,,,,
September 1977,9.97,,,,
October 1977,10.10,,,,
November 1977,10.20,,,,
December 1977,10.20,,,,
January 1978,10.20,,,,
February 1978,10.20,,,,
March 1978,10.20,,,,
April 1978,10.10,,,,
May 1978,10.10,,,,
June 1978,10.00,,,,
July 1978,10.10,,,,
August 1978,10.50,,,,
September 1978,10.90,,,,
October 1978,11.30,,,,
November 1978,11.60,,,,
December 1978,11.80,,,,
January 1979,11.90,,,,
February 1979,11.90,,,,
March 1979,11.80,,,,
April 1979,11.60,,,,
May 1979,11.50,,,,
June 1979,11.50,,,,
July 1979,11.60,,,,
August 1979,12.00,,,,
September 1979,12.30,,,,
October 1979,12.60,,,,
November 1979,12.90,,,,
December 1979,12.80,,,,
January 1980,12.80,,,,
February 1980,12.80,,,,
March 1980,12.80,,,,
April 1980,12.70,,,,
May 1980,12.60,,,,
June 1980,12.50,,,,
July 1980,12.60,,,,
August 1980,12.80,,,,
September 1980,13.20,,,,
October 1980,13.70,,,,
November 1980,14.00,,,,
December 1980,14.10,,,,
January 1981,14.10,,,,
February 1981,14.00,,,,
March 1981,13.80,,,,
April 1981,13.70,,,,
May 1981,13.50,,,,
June 1981,13.40,,,,
July 1981,13.40,,,,
August 1981,13.50,,,,
September 1981,13.70,,,,
October 1981,14.00,,,,
November 1981,14.00,,,,
December 1981,14.00,,,,
January 1982,14.00,,,,
February 1982,13.80,,,,
March 1982,13.70,,,,
April 1982,13.50,,,,
May 1982,13.20,,,,
June 1982,13.20,,,,
July 1982,13.20,,,,
August 1982,13.30,,,,
September 1982,13.60,,,,
October 1982,13.80,,,,
November 1982,13.90,,,,
December 1982,13.90,,,,
January 1983,13.90,,,,
February 1983,13.80,,,,
March 1983,13.60,,,,
April 1983,13.60,,,,
May 1983,13.30,,,,
June 1983,13.20,,,,
July 1983,13.20,,,,
August 1983,13.30,,,,
September 1983,13.50,,,,
October 1983,13.80,,,,
November 1983,13.90,,,,
December 1983,13.70,,,,
January 1984,13.60,,,,
February 1984,13.40,,,,
March 1984,13.30,,,,
April 1984,13.10,,,,
May 1984,13.00,,,,
June 1984,12.90,,,,
July 1984,13.00,,,,
August 1984,13.20,,,,
September 1984,13.60,,,,
October 1984,14.00,,,,
November 1984,14.30,,,,
December 1984,14.00,,,,
January 1985,13.90,,,,
February 1985,13.70,,,,
March 1985,13.30,,,,
April 1985,12.90,,,,
May 1985,12.50,,,,
June 1985,12.20,,,,
July 1985,12.10,,,,
August 1985,12.10,,,,
September 1985,12.30,,,,
October 1985,12.60,,,,
November 1985,12.60,,,,
December 1985,12.60,,,,
January 1986,12.50,,,,
February 1986,12.40,,,,
March 1986,12.20,,,,
April 1986,12.10,,,,
May 1986,12.00,,,,
June 1986,11.90,,,,
July 1986,12.00,,,,
August 1986,12.30,,,,
September 1986,12.80,,,,
October 1986,13.20,,,,
November 1986,13.40,,,,
December 1986,13.40,,,,
January 1987,13.20,,,,
February 1987,12.90,,,,
March 1987,12.50,,,,
April 1987,12.20,,,,
May 1987,11.90,,,,
June 1987,11.90,,,,
July 1987,12.00,,,,
August 1987,12.20,,,,
September 1987,12.60,,,,
October 1987,12.90,,,,
November 1987,12.90,,,,
December 1987,12.70,,,,
January 1988,12.50,,,,
February 1988,12.20,,,,
March 1988,11.90,,,,
April 1988,11.60,,,,
May 1988,11.40,,,,
June 1988,11.30,,,,
July 1988,11.40,,,,
August 1988,11.80,,,,
September 1988,12.50,,,,
October 1988,13.00,,,,
November 1988,13.40,,,,
December 1988,13.60,,,,
January 1989,13.50,,,,
February 1989,13.20,,,,
March 1989,12.70,,,,
April 1989,12.40,,,,
May 1989,12.30,,,,
June 1989,12.40,,,,
July 1989,12.60,,,,
August 1989,13.20,,,,
September 1989,14.00,,,,
October 1989,14.80,,,,
November 1989,15.60,,,,
December 1989,16.00,,,,
January 1990,15.50,,,,
February 1990,14.50,,,,
March 1990,13.90,,,,
April 1990,13.40,,,,
May 1990,13.50,,,,
June 1990,13.80,,,,
July 1990,14.00,,,,
August 1990,14.20,,,,
September 1990,13.90,,,,
October 1990,13.10,,,,
November 1990,12.70,,,,
December 1990,11.70,,,,
January 1991,11.70,,,,
February 1991,11.60,,,,
March 1991,11.40,,,,
April 1991,11.30,,,,
May 1991,11.30,,,,
June 1991,11.40,,,,
July 1991,11.80,,,,
August 1991,12.40,,,,
September 1991,12.80,,,,
October 1991,13.50,,,,
November 1991,13.90,,,,
December 1991,13.80,,,,
January 1992,13.40,,,,
February 1992,12.90,,,,
March 1992,12.50,,,,
April 1992,12.60,,,,
May 1992,12.80,,,,
June 1992,13.20,,,,
July 1992,13.40,,,,
August 1992,13.50,,,,
September 1992,13.50,,,,
October 1992,13.40,,,,
November 1992,13.10,,,,
December 1992,12.80,,,,
January 1993,12.50,,,,
February 1993,12.30,,,,
March 1993,12.20,,,,
April 1993,12.60,,,,
May 1993,12.90,,,,
June 1993,13.10,,,,
July 1993,12.80,,,,
August 1993,12.50,,,,
September 1993,12.70,,,,
October 1993,13.10,,,,
November 1993,13.60,,,,
December 1993,13.60,,,,
January 1994,13.70,,,,
February 1994,13.50,,,,
March 1994,13.50,,,,
April 1994,13.40,,,,
May 1994,12.80,,,,
June 1994,12.60,,,,
July 1994,12.20,,,,
August 1994,12.40,,,,
September 1994,12.80,,,,
October 1994,13.00,,,,
November 1994,13.10,,,,
December 1994,12.80,,,,
January 1995,12.60,,,,
February 1995,12.60,,,,
March 1995,12.70,,,,
April 1995,12.40,,,,
May 1995,12.40,,,,
June 1995,12.10,,,,
July 1995,12.10,,,,
August 1995,12.40,,,,
September 1995,12.80,,,,
October 1995,13.40,,,,
November 1995,13.90,,,,
December 1995,13.90,,,,
January 1996,14.00,,,,
February 1996,12.80,,,,
March 1996,13.70,,,,
April 1996,13.90,,,,
May 1996,14.30,,,,
June 1996,14.80,,,,
July 1996,15.40,,,,
August 1996,15.90,,,,
September 1996,16.50,,,,
October 1996,16.40,,,,
November 1996,15.20,,,,
December 1996,14.30,,,,
January 1997,13.40,,,,
February 1997,13.50,,,,
March 1997,13.50,,,,
April 1997,13.40,,,,
May 1997,13.00,,,,
June 1997,12.40,,,,
July 1997,12.20,,,,
August 1997,12.70,,,,
September 1997,13.20,,,,
October 1997,14.00,,,,
November 1997,14.60,,,,
December 1997,14.60,,,,
January 1998,14.70,,,,
February 1998,14.70,,,,
March 1998,14.40,,,,
April 1998,14.00,,,,
May 1998,13.30,,,,
June 1998,14.10,,,,
July 1998,14.20,,,,
August 1998,15.50,,,,
September 1998,16.70,,,,
October 1998,17.70,,,,
November 1998,17.80,,,,
December 1998,18.00,,,,
January 1999,17.40,,,,
February 1999,15.50,,,,
March 1999,15.00,,,,
April 1999,12.60,,,,
May 1999,12.80,,,,
June 1999,13.10,,,,
July 1999,13.70,,,,
August 1999,15.00,,,,
September 1999,15.80,,,,
October 1999,15.00,,,,
November 1999,14.30,,,,
December 1999,12.20,,,,
January 2000,12.00,,,,
February 2000,11.80,,,,
March 2000,11.90,,,,
April 2000,11.90,,,,
May 2000,12.00,,,,
June 2000,12.30,,,,
July 2000,12.60,,,,
August 2000,12.50,,,,
September 2000,12.90,,,,
October 2000,12.50,,,,
November 2000,12.60,,,,
December 2000,13.00,,,,
January 2001,13.20,,,,
February 2001,13.00,,,,
March 2001,13.90,,,,
April 2001,14.40,,,,
May 2001,15.40,,,,
June 2001,16.10,,,,
July 2001,16.20,,,,
August 2001,16.40,,,,
September 2001,17.00,,,,
October 2001,15.70,,,,
November 2001,14.40,,,,
December 2001,13.40,,,,
January 2002,13.40,,,,
February 2002,13.10,,,,
March 2002,12.70,,,,
April 2002,12.50,,,,
May 2002,12.10,,,,
June 2002,11.50,,,,
July 2002,11.10,,,,
August 2002,11.30,,,,
September 2002,11.60,,,,
October 2002,12.10,,,,
November 2002,11.90,,,,
December 2002,11.90,,,,
January 2003,11.70,,,,
February 2003,11.40,,,,
March 2003,11.00,,,,
April 2003,11.00,,,,
May 2003,11.10,,,,
June 2003,11.10,,,,
July 2003,12.00,,,,
August 2003,13.20,,,,
September 2003,14.40,,,,
October 2003,15.00,,,,
November 2003,14.50,,,,
December 2003,13.70,,,,
January 2004,13.20,,,,
February 2004,13.60,,,,
March 2004,15.40,,,,
April 2004,18.10,,,,
May 2004,19.30,,,,
June 2004,18.20,,,,
July 2004,16.10,,,,
August 2004,14.90,,,,
September 2004,15.50,,,,
October 2004,15.60,,,,
November 2004,16.20,,,,
December 2004,16.40,,,,
January 2005,15.90,,,,
February 2005,15.50,,,,
March 2005,15.60,,,,
April 2005,15.20,,,,
May 2005,14.80,,,,
June 2005,14.50,,,,
July 2005,14.80,,,,
August 2005,14.80,,,,
September 2005,15.30,,,,
October 2005,15.50,,,,
November 2005,15.10,,,,
December 2005,14.80,,,,
January 2006,14.50,,,,
February 2006,13.50,,,,
March 2006,12.60,,,,
April 2006,12.10,,,,
May 2006,12.00,,,,
June 2006,11.90,,,,
July 2006,11.80,,,,
August 2006,12.00,,,,
September 2006,12.90,,,,
October 2006,13.50,,,,
November 2006,13.90,,,,
December 2006,14.10,,,,
January 2007,14.50,,,,
February 2007,14.90,,,,
March 2007,15.60,,,,
April 2007,16.60,,,,
May 2007,18.00,,,,
June 2007,20.20,,,,
July 2007,21.70,,,,
August 2007,21.60,,,,
September 2007,21.70,,,,
October 2007,21.40,,,,
November 2007,21.90,,,,
December 2007,21.50,,,,
January 2008,20.50,,,,
February 2008,19.10,,,,
March 2008,18.10,,,,
April 2008,18.00,,,,
May 2008,18.40,,,,
June 2008,19.30,,,,
July 2008,19.40,,,,
August 2008,18.40,,,,
September 2008,18.20,,,,
October 2008,17.70,,,,
November 2008,17.10,,,,
December 2008,15.60,,,,
January 2009,13.30,,,,
February 2009,11.60,,,,
March 2009,11.80,,,,
April 2009,11.90,,,,
May 2009,11.60,,,,
June 2009,11.30,,,,
July 2009,11.30,,,,
August 2009,12.00,,,,
September 2009,12.90,,,,
October 2009,14.20,,,,
November 2009,15.30,,,,
December 2009,16.50,,,,
January 2010,16.10,,,,
February 2010,15.90,,,,
March 2010,14.80,,,,
April 2010,14.60,,,,
May 2010,15.10,,,,
June 2010,15.50,,,,
July 2010,16.00,,,,
August 2010,16.70,,,,
September 2010,17.70,,,,
October 2010,18.50,,,,
November 2010,17.90,,,,
December 2010,16.70,,,,
January 2011,16.70,,,,
February 2011,19.10,,,,
March 2011,20.40,,,,
April 2011,19.60,,,,
May 2011,19.60,,,,
June 2011,21.20,,,,
July 2011,21.90,,,,
August 2011,22.00,,,,
September 2011,21.10,,,,
October 2011,20.00,,,,
November 2011,20.50,,,,
December 2011,19.70,,,,
January 2012,19.00,,,,
February 2012,17.70,,,,
March 2012,17.20,,,,
April 2012,16.80,,,,
May 2012,16.20,,,,
June 2012,16.30,,,,
July 2012,16.90,,,,
August 2012,18.20,,,,
September 2012,19.70,,,,
October 2012,21.60,,,,
November 2012,22.10,,,,
December 2012,20.80,,,,
January 2013,19.90,,,,
February 2013,19.50,,,,
March 2013,19.10,,,,
April 2013,19.50,,,,
May 2013,19.70,,,,
June 2013,19.50,,,,
July 2013,19.10,,,,
August 2013,19.60,,,,
September 2013,20.10,,,,
October 2013,20.90,,,,
November 2013,21.60,,,,
December 2013,22.00,,,,
January 2014,23.50,,,,
February 2014,24.90,,,,
March 2014,25.10,,,,
April 2014,25.30,,,,
May 2014,24.20,,,,
June 2014,23.20,,,,
July 2014,23.30,,,,
August 2014,24.10,,,,
September 2014,25.70,,,,
October 2014,24.90,,,,
November 2014,23.00,,,,
December 2014,20.40,,,,
January 2015,17.60,,,,
February 2015,16.80,,,,
March 2015,16.60,,,,
April 2015,16.50,,,,
May 2015,16.80,,,,
June 2015,17.00,,,,
July 2015,16.60,,,,
August 2015,16.70,,,,
September 2015,17.50,,,,
October 2015,17.70,,,,
November 2015,18.20,,,,
December 2015,17.20,,,,
January 2016,16.10,,,,
February 2016,15.70,,,,
March 2016,15.30,,,,
April 2016,15.10,,,,
May 2016,14.50,,,,
June 2016,14.80,,,,
July 2016,16.10,,,,
August 2016,17.10,,,,
September 2016,17.30,,,,
October 2016,16.60,,,,
November 2016,17.60,,,,
December 2016,18.80,,,,
January 2017,18.90,,,,
February 2017,18.50,,,,
March 2017,17.30,,,,
April 2017,16.50,,,,
May 2017,16.70,,,,
June 2017,17.30,,,,
July 2017,17.70,,,,
August 2017,18.00,,,,
September 2017,17.80,,,,
October 2017,17.90,,,,
November 2017,18.10,,,,
December 2017,17.20,,,,
January 2018,16.10,,,,
February 2018,15.30,,,,
March 2018,15.60,,,,
